ID,Location,Country,Parking Available,Weather,Temperature,Rain,Wind Speed,Description
5056,Christ the Redeemer,Brazil,Yes,Snowy,31,None,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
5057,Big Ben,UK,No,Foggy,32,Light,7,"Information about Big Ben in UK, weather condition: Foggy."
5058,Eiffel Tower,France,Yes,Sunny,33,Moderate,8,"Information about Eiffel Tower in France, weather condition: Sunny."
5059,Great Wall of China,China,No,Cloudy,34,Heavy,9,"Information about Great Wall of China in China, weather condition: Cloudy."
5060,Central Park,USA,Yes,Rainy,35,None,10,"Information about Central Park in USA, weather condition: Rainy."
5061,Times Square,Canada,No,Windy,36,Light,11,"Information about Times Square in Canada, weather condition: Windy."
5062,Berlin Wall,Germany,Yes,Snowy,37,Moderate,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
5063,Sydney Opera House,Australia,No,Foggy,38,Heavy,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
5064,Taj Mahal,India,Yes,Sunny,39,None,14,"Information about Taj Mahal in India, weather condition: Sunny."
5065,Mount Fuji,Japan,No,Cloudy,40,Light,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
5066,Christ the Redeemer,Brazil,Yes,Rainy,41,Moderate,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
5067,Big Ben,UK,No,Windy,42,Heavy,17,"Information about Big Ben in UK, weather condition: Windy."
5068,Eiffel Tower,France,Yes,Snowy,43,None,18,"Information about Eiffel Tower in France, weather condition: Snowy."
5069,Great Wall of China,China,No,Foggy,44,Light,19,"Information about Great Wall of China in China, weather condition: Foggy."
5070,Central Park,USA,Yes,Sunny,15,Moderate,5,"Information about Central Park in USA, weather condition: Sunny."
5071,Times Square,Canada,No,Cloudy,16,Heavy,6,"Information about Times Square in Canada, weather condition: Cloudy."
5072,Berlin Wall,Germany,Yes,Rainy,17,None,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
5073,Sydney Opera House,Australia,No,Windy,18,Light,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
5074,Taj Mahal,India,Yes,Snowy,19,Moderate,9,"Information about Taj Mahal in India, weather condition: Snowy."
5075,Mount Fuji,Japan,No,Foggy,20,Heavy,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
5076,Christ the Redeemer,Brazil,Yes,Sunny,21,None,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
5077,Big Ben,UK,No,Cloudy,22,Light,12,"Information about Big Ben in UK, weather condition: Cloudy."
5078,Eiffel Tower,France,Yes,Rainy,23,Moderate,13,"Information about Eiffel Tower in France, weather condition: Rainy."
5079,Great Wall of China,China,No,Windy,24,Heavy,14,"Information about Great Wall of China in China, weather condition: Windy."
5080,Central Park,USA,Yes,Snowy,25,None,15,"Information about Central Park in USA, weather condition: Snowy."
5081,Times Square,Canada,No,Foggy,26,Light,16,"Information about Times Square in Canada, weather condition: Foggy."
5082,Berlin Wall,Germany,Yes,Sunny,27,Moderate,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
5083,Sydney Opera House,Australia,No,Cloudy,28,Heavy,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
5084,Taj Mahal,India,Yes,Rainy,29,None,19,"Information about Taj Mahal in India, weather condition: Rainy."
5085,Mount Fuji,Japan,No,Windy,30,Light,5,"Information about Mount Fuji in Japan, weather condition: Windy."
5086,Christ the Redeemer,Brazil,Yes,Snowy,31,Moderate,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
5087,Big Ben,UK,No,Foggy,32,Heavy,7,"Information about Big Ben in UK, weather condition: Foggy."
5088,Eiffel Tower,France,Yes,Sunny,33,None,8,"Information about Eiffel Tower in France, weather condition: Sunny."
5089,Great Wall of China,China,No,Cloudy,34,Light,9,"Information about Great Wall of China in China, weather condition: Cloudy."
5090,Central Park,USA,Yes,Rainy,35,Moderate,10,"Information about Central Park in USA, weather condition: Rainy."
5091,Times Square,Canada,No,Windy,36,Heavy,11,"Information about Times Square in Canada, weather condition: Windy."
5092,Berlin Wall,Germany,Yes,Snowy,37,None,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
5093,Sydney Opera House,Australia,No,Foggy,38,Light,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
5094,Taj Mahal,India,Yes,Sunny,39,Moderate,14,"Information about Taj Mahal in India, weather condition: Sunny."
5095,Mount Fuji,Japan,No,Cloudy,40,Heavy,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
5096,Christ the Redeemer,Brazil,Yes,Rainy,41,None,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
5097,Big Ben,UK,No,Windy,42,Light,17,"Information about Big Ben in UK, weather condition: Windy."
5098,Eiffel Tower,France,Yes,Snowy,43,Moderate,18,"Information about Eiffel Tower in France, weather condition: Snowy."
5099,Great Wall of China,China,No,Foggy,44,Heavy,19,"Information about Great Wall of China in China, weather condition: Foggy."
5100,Central Park,USA,Yes,Sunny,15,None,5,"Information about Central Park in USA, weather condition: Sunny."
5101,Times Square,Canada,No,Cloudy,16,Light,6,"Information about Times Square in Canada, weather condition: Cloudy."
5102,Berlin Wall,Germany,Yes,Rainy,17,Moderate,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
5103,Sydney Opera House,Australia,No,Windy,18,Heavy,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
5104,Taj Mahal,India,Yes,Snowy,19,None,9,"Information about Taj Mahal in India, weather condition: Snowy."
5105,Mount Fuji,Japan,No,Foggy,20,Light,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
5106,Christ the Redeemer,Brazil,Yes,Sunny,21,Moderate,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
5107,Big Ben,UK,No,Cloudy,22,Heavy,12,"Information about Big Ben in UK, weather condition: Cloudy."
5108,Eiffel Tower,France,Yes,Rainy,23,None,13,"Information about Eiffel Tower in France, weather condition: Rainy."
5109,Great Wall of China,China,No,Windy,24,Light,14,"Information about Great Wall of China in China, weather condition: Windy."
5110,Central Park,USA,Yes,Snowy,25,Moderate,15,"Information about Central Park in USA, weather condition: Snowy."
5111,Times Square,Canada,No,Foggy,26,Heavy,16,"Information about Times Square in Canada, weather condition: Foggy."
5112,Berlin Wall,Germany,Yes,Sunny,27,None,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
5113,Sydney Opera House,Australia,No,Cloudy,28,Light,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
5114,Taj Mahal,India,Yes,Rainy,29,Moderate,19,"Information about Taj Mahal in India, weather condition: Rainy."
5115,Mount Fuji,Japan,No,Windy,30,Heavy,5,"Information about Mount Fuji in Japan, weather condition: Windy."
5116,Christ the Redeemer,Brazil,Yes,Snowy,31,None,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
5117,Big Ben,UK,No,Foggy,32,Light,7,"Information about Big Ben in UK, weather condition: Foggy."
5118,Eiffel Tower,France,Yes,Sunny,33,Moderate,8,"Information about Eiffel Tower in France, weather condition: Sunny."
5119,Great Wall of China,China,No,Cloudy,34,Heavy,9,"Information about Great Wall of China in China, weather condition: Cloudy."
5120,Central Park,USA,Yes,Rainy,35,None,10,"Information about Central Park in USA, weather condition: Rainy."
5121,Times Square,Canada,No,Windy,36,Light,11,"Information about Times Square in Canada, weather condition: Windy."
5122,Berlin Wall,Germany,Yes,Snowy,37,Moderate,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
5123,Sydney Opera House,Australia,No,Foggy,38,Heavy,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
5124,Taj Mahal,India,Yes,Sunny,39,None,14,"Information about Taj Mahal in India, weather condition: Sunny."
5125,Mount Fuji,Japan,No,Cloudy,40,Light,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
5126,Christ the Redeemer,Brazil,Yes,Rainy,41,Moderate,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
5127,Big Ben,UK,No,Windy,42,Heavy,17,"Information about Big Ben in UK, weather condition: Windy."
5128,Eiffel Tower,France,Yes,Snowy,43,None,18,"Information about Eiffel Tower in France, weather condition: Snowy."
5129,Great Wall of China,China,No,Foggy,44,Light,19,"Information about Great Wall of China in China, weather condition: Foggy."
5130,Central Park,USA,Yes,Sunny,15,Moderate,5,"Information about Central Park in USA, weather condition: Sunny."
5131,Times Square,Canada,No,Cloudy,16,Heavy,6,"Information about Times Square in Canada, weather condition: Cloudy."
5132,Berlin Wall,Germany,Yes,Rainy,17,None,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
5133,Sydney Opera House,Australia,No,Windy,18,Light,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
5134,Taj Mahal,India,Yes,Snowy,19,Moderate,9,"Information about Taj Mahal in India, weather condition: Snowy."
5135,Mount Fuji,Japan,No,Foggy,20,Heavy,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
5136,Christ the Redeemer,Brazil,Yes,Sunny,21,None,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
5137,Big Ben,UK,No,Cloudy,22,Light,12,"Information about Big Ben in UK, weather condition: Cloudy."
5138,Eiffel Tower,France,Yes,Rainy,23,Moderate,13,"Information about Eiffel Tower in France, weather condition: Rainy."
5139,Great Wall of China,China,No,Windy,24,Heavy,14,"Information about Great Wall of China in China, weather condition: Windy."
5140,Central Park,USA,Yes,Snowy,25,None,15,"Information about Central Park in USA, weather condition: Snowy."
5141,Times Square,Canada,No,Foggy,26,Light,16,"Information about Times Square in Canada, weather condition: Foggy."
5142,Berlin Wall,Germany,Yes,Sunny,27,Moderate,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
5143,Sydney Opera House,Australia,No,Cloudy,28,Heavy,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
5144,Taj Mahal,India,Yes,Rainy,29,None,19,"Information about Taj Mahal in India, weather condition: Rainy."
5145,Mount Fuji,Japan,No,Windy,30,Light,5,"Information about Mount Fuji in Japan, weather condition: Windy."
5146,Christ the Redeemer,Brazil,Yes,Snowy,31,Moderate,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
5147,Big Ben,UK,No,Foggy,32,Heavy,7,"Information about Big Ben in UK, weather condition: Foggy."
5148,Eiffel Tower,France,Yes,Sunny,33,None,8,"Information about Eiffel Tower in France, weather condition: Sunny."
5149,Great Wall of China,China,No,Cloudy,34,Light,9,"Information about Great Wall of China in China, weather condition: Cloudy."
5150,Central Park,USA,Yes,Rainy,35,Moderate,10,"Information about Central Park in USA, weather condition: Rainy."
5151,Times Square,Canada,No,Windy,36,Heavy,11,"Information about Times Square in Canada, weather condition: Windy."
5152,Berlin Wall,Germany,Yes,Snowy,37,None,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
5153,Sydney Opera House,Australia,No,Foggy,38,Light,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
5154,Taj Mahal,India,Yes,Sunny,39,Moderate,14,"Information about Taj Mahal in India, weather condition: Sunny."
5155,Mount Fuji,Japan,No,Cloudy,40,Heavy,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
5156,Christ the Redeemer,Brazil,Yes,Rainy,41,None,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
5157,Big Ben,UK,No,Windy,42,Light,17,"Information about Big Ben in UK, weather condition: Windy."
5158,Eiffel Tower,France,Yes,Snowy,43,Moderate,18,"Information about Eiffel Tower in France, weather condition: Snowy."
5159,Great Wall of China,China,No,Foggy,44,Heavy,19,"Information about Great Wall of China in China, weather condition: Foggy."
5160,Central Park,USA,Yes,Sunny,15,None,5,"Information about Central Park in USA, weather condition: Sunny."
5161,Times Square,Canada,No,Cloudy,16,Light,6,"Information about Times Square in Canada, weather condition: Cloudy."
5162,Berlin Wall,Germany,Yes,Rainy,17,Moderate,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
5163,Sydney Opera House,Australia,No,Windy,18,Heavy,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
5164,Taj Mahal,India,Yes,Snowy,19,None,9,"Information about Taj Mahal in India, weather condition: Snowy."
5165,Mount Fuji,Japan,No,Foggy,20,Light,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
5166,Christ the Redeemer,Brazil,Yes,Sunny,21,Moderate,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
5167,Big Ben,UK,No,Cloudy,22,Heavy,12,"Information about Big Ben in UK, weather condition: Cloudy."
5168,Eiffel Tower,France,Yes,Rainy,23,None,13,"Information about Eiffel Tower in France, weather condition: Rainy."
5169,Great Wall of China,China,No,Windy,24,Light,14,"Information about Great Wall of China in China, weather condition: Windy."
5170,Central Park,USA,Yes,Snowy,25,Moderate,15,"Information about Central Park in USA, weather condition: Snowy."
5171,Times Square,Canada,No,Foggy,26,Heavy,16,"Information about Times Square in Canada, weather condition: Foggy."
5172,Berlin Wall,Germany,Yes,Sunny,27,None,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
5173,Sydney Opera House,Australia,No,Cloudy,28,Light,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
5174,Taj Mahal,India,Yes,Rainy,29,Moderate,19,"Information about Taj Mahal in India, weather condition: Rainy."
5175,Mount Fuji,Japan,No,Windy,30,Heavy,5,"Information about Mount Fuji in Japan, weather condition: Windy."
5176,Christ the Redeemer,Brazil,Yes,Snowy,31,None,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
5177,Big Ben,UK,No,Foggy,32,Light,7,"Information about Big Ben in UK, weather condition: Foggy."
5178,Eiffel Tower,France,Yes,Sunny,33,Moderate,8,"Information about Eiffel Tower in France, weather condition: Sunny."
5179,Great Wall of China,China,No,Cloudy,34,Heavy,9,"Information about Great Wall of China in China, weather condition: Cloudy."
5180,Central Park,USA,Yes,Rainy,35,None,10,"Information about Central Park in USA, weather condition: Rainy."
5181,Times Square,Canada,No,Windy,36,Light,11,"Information about Times Square in Canada, weather condition: Windy."
5182,Berlin Wall,Germany,Yes,Snowy,37,Moderate,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
5183,Sydney Opera House,Australia,No,Foggy,38,Heavy,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
5184,Taj Mahal,India,Yes,Sunny,39,None,14,"Information about Taj Mahal in India, weather condition: Sunny."
5185,Mount Fuji,Japan,No,Cloudy,40,Light,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
5186,Christ the Redeemer,Brazil,Yes,Rainy,41,Moderate,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
5187,Big Ben,UK,No,Windy,42,Heavy,17,"Information about Big Ben in UK, weather condition: Windy."
